area_id,value
101,774200.0
103,
104,1637500.0
105,5398000.0
106,
107,3550000.0
108,2782500.0
109,1049500.0
110,1435000.0
112,1875000.0
113,995000.0
115,2024500.0
116,2775000.0
117,995000.0
120,2497500.0
121,3595000.0
122,1950000.0
123,1050000.0
124,1210000.0
136,2062500.0
137,1597500.0
138,759500.0
140,1830000.0
141,2195000.0
142,899000.0
143,2995000.0
147,650000.0
148,475475.0
149,499900.0
150,350000.0
153,
154,927000.0
155,760000.0
157,2375000.0
158,2975000.0
161,
162,9675000.0
164,2485000.0
201,
202,
204,
205,
207,
209,
210,165000.0
211,217000.0
212,
213,
214,
216,
218,
221,
224,240000.0
225,285000.0
226,
228,81175.0
229,
231,135500.0
232,427500.0
233,
234,
236,
237,
238,119000.0
240,
241,
242,385000.0
243,
244,
245,429000.0
246,
248,
260,
265,
266,
270,
271,
272,
273,
274,
276,
301,1882000.0
302,1262500.0
303,949000.0
304,1322500.0
305,1162500.0
306,1995000.0
307,2475000.0
310,1170000.0
313,1000000.0
314,499000.0
318,1695000.0
319,1325000.0
320,1200000.0
321,2350000.0
322,2122500.0
323,1098000.0
324,807000.0
325,947000.0
326,1017500.0
328,1195000.0
329,1064500.0
331,599999.0
332,999000.0
334,1150000.0
336,769000.0
337,756500.0
338,
339,285000.0
340,489000.0
341,424000.0
342,689000.0
343,585000.0
345,777000.0
346,500000.0
348,355000.0
349,439000.0
350,1500000.0
354,629500.0
355,644499.5
358,450000.0
359,459000.0
360,499000.0
361,629000.0
362,1200000.0
363,699500.0
364,815000.0
365,325000.0
367,1125000.0
370,419000.0
401,649000.0
402,937500.0
403,320000.0
404,272000.0
405,349000.0
406,
407,592000.0
408,395000.0
409,388000.0
410,
411,699000.0
412,895000.0
413,828000.0
414,310000.0
415,359000.0
416,736888.0
417,996500.0
418,
419,
420,215000.0
421,
422,494000.0
423,
424,240000.0
425,349500.0
426,
427,500000.0
428,645000.0
429,
430,288500.0
431,
432,
433,455000.0
434,
435,475000.0
436,
437,
438,474000.0
439,489499.5
442,
443,573500.0
444,412499.5
445,459500.0
446,180000.0
447,869000.0
449,
450,
451,204000.0
453,
454,
455,
458,
459,202000.0
474,
475,
476,955000.0
477,481500.0
479,
507,
508,
509,
510,
511,
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,
522,
523,
524,
525,
526,
527,
528,
529,
530,
531,
532,
533,
535,
536,
537,
538,
539,
540,
541,
542,
543,
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
590,
591,
592,
593,
594,
595,
596,
597,
598,
